,Date,Defect ID,Defect Qty,Downtime min,Vendor,Sub Category,Category,Material Type,Plant,Defect,Defect Type
1315,2014-04-28,184,106,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1316,2014-04-24,115,23,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Soft Parts,Rejected
1317,2014-04-12,111,7177,0,Keyzunbase,Packaging,Packaging,Molds,"Detriot, MI",Dents,Rejected
1318,2014-04-06,184,255,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1319,2014-04-02,185,50,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1320,2014-03-18,255,116,0,Zotfan,Mechanicals,Mechanicals,Printed Materials,"Toledo, OH",Splinter,Rejected
1321,2014-03-15,109,374,0,Yearcorporation,Mechanicals,Mechanicals,Batteries,"Indianapolis, IN",Wrong Shade of Color,Rejected
1322,2014-03-04,116,61394,0,Keyzunbase,Packaging,Packaging,Molds,"Detriot, MI",Wrong Drive,Rejected
1323,2014-03-04,109,57,0,Yearcorporation,Mechanicals,Mechanicals,Batteries,"Indianapolis, IN",Wrong Shade of Color,Rejected
1324,2014-02-21,184,255,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1325,2014-02-21,185,95,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1326,2014-01-30,185,127,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1327,2014-01-29,184,196,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1328,2014-01-27,86,67284,0,Recode,Mechanicals,Mechanicals,Composites,"Toledo, OH",Print Problems,Rejected
1329,2014-01-15,114,48,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Wrong Parts,Rejected
1330,2014-01-07,89,7209,0,Sanin,Logistics,Logistics,Batteries,"Bangor, MI",Mixed Product,Rejected
1331,2014-01-07,232,6,0,Tamholding,Logistics,Logistics,Controllers,"Bangor, MI",Damaged,Rejected
1332,2014-01-06,86,534,0,Recode,Mechanicals,Mechanicals,Composites,"Toledo, OH",Print Problems,Rejected
1333,2014-01-03,184,313,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1334,2014-01-03,185,129,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1335,2014-01-02,25,9,0,Planethouse,Packaging,Packaging,Hardware,"Northbrook, IL",Misc,Rejected
1336,2014-01-02,30,2,0,Recode,Mechanicals,Mechanicals,Composites,"Green Bay, WI",Foreign objects found,Rejected
1337,2013-12-27,116,2670,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Wrong Drive,Rejected
1338,2013-12-23,109,14952,0,Recode,Mechanicals,Mechanicals,Composites,"Toledo, OH",Wrong Shade of Color,Rejected
1339,2013-12-16,29,18263,0,Sanin,Logistics,Logistics,Controllers,"Madison, WI",Warped,Rejected
1340,2013-12-16,184,1715,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1341,2013-12-11,211,144625,0,Planethouse,Packaging,Packaging,Hardware,"Northbrook, IL",No Fill,Rejected
1342,2013-12-08,36,56070,0,Zuntexon,Logistics,Logistics,Electrolytes,"Naperville, IL",Excessive Grease,Rejected
1343,2013-12-03,34,196,0,D-zohex,Logistics,Logistics,Batteries,"Naperville, IL",Damaged Secondary Packaging,Rejected
1344,2013-11-29,185,113,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1345,2013-11-28,211,2,0,Planethouse,Packaging,Packaging,Hardware,"Northbrook, IL",No Fill,Rejected
1346,2013-11-27,207,18,0,Tamcan,Logistics,Logistics,Electrolytes,"Milwaukee, Wi",Foreign Objects,Rejected
1347,2013-11-25,105,2564,0,Keyzunbase,Packaging,Packaging,Molds,"Detriot, MI",Wrong Labeling,Rejected
1348,2013-11-19,138,44429,0,Solholdings,Packaging,Packaging,Molds,"Detriot, MI",Soft Tops,Rejected
1349,2013-11-19,138,1026,0,Solholdings,Packaging,Packaging,Molds,"Detriot, MI",Soft Tops,Rejected
1350,2013-11-19,184,213,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1351,2013-11-19,184,211,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1352,2013-11-19,184,49,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1353,2013-11-16,163,668,0,Zuntexon,Logistics,Logistics,Electrolytes,"Naperville, IL",Missing Components,Rejected
1354,2013-11-14,29,196,0,D-zohex,Logistics,Logistics,Batteries,"Naperville, IL",Warped,Rejected
1355,2013-11-06,218,19287,0,Planethouse,Packaging,Packaging,Motors,"Northbrook, IL",Out of Specification,Rejected
1356,2013-11-05,221,15602,0,Dentocity,Goods & Services,Goods & Services,Drives,"Monon, IN",Thin Packaging,Rejected
1357,2013-10-08,123,1238,0,Sunjob,Packaging,Packaging,Electrolytes,"Detriot, MI",Mixed Parts,Rejected
1358,2013-09-25,195,23363,0,Tamcan,Logistics,Logistics,Electrolytes,"Milwaukee, Wi",No Shipment Info,Rejected
1359,2013-09-23,184,150,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1360,2013-09-18,185,54,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1361,2013-09-15,194,3115,0,Daltfax,Mechanicals,Mechanicals,Motors,"Lansing, MI",Wrong Item,Rejected
1362,2013-09-01,183,102,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",No Docs,Rejected
1363,2013-09-01,185,80,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1364,2013-08-21,114,890,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Wrong Parts,Rejected
1365,2013-08-13,174,8772,0,Faseway,Logistics,Logistics,Molds,"Milwaukee, Wi",Wrong Surface,Rejected
1366,2013-07-27,166,1994,0,tampquote,Logistics,Logistics,Molds,"Madison, WI",Other,Rejected
1367,2013-07-20,124,151478,0,Ganjazone,Packaging,Packaging,Electrolytes,"Detriot, MI",Split hinges,Rejected
1368,2013-06-29,127,47719,0,Ventocore,Logistics,Logistics,Molds,"Madison, WI",Bad Tops,Rejected
1369,2013-06-12,149,465,0,zoofan,Goods & Services,Goods & Services,Motors,"Monon, IN",Contamination,Rejected
1370,2013-05-28,116,70300,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Wrong Drive,Rejected
1371,2013-05-28,114,890,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Wrong Parts,Rejected
1372,2013-05-27,143,152190,0,Sanin,Logistics,Logistics,Controllers,Cincinnati OH,Wrong Print,Rejected
1373,2013-05-19,135,75926,0,Planethouse,Packaging,Packaging,Hardware,"Northbrook, IL",Leaking Seals,Rejected
1374,2013-04-27,116,2670,0,tampquote,Logistics,Logistics,Molds,"Naperville, IL",Wrong Drive,Rejected
1375,2013-04-23,109,14952,0,Recode,Mechanicals,Mechanicals,Composites,"Toledo, OH",Wrong Shade of Color,Rejected
1376,2013-04-16,29,18263,0,Sanin,Logistics,Logistics,Controllers,"Madison, WI",Warped,Rejected
1377,2013-04-16,184,1715,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1378,2013-04-11,211,144625,0,Planethouse,Packaging,Packaging,Hardware,"Northbrook, IL",No Fill,Rejected
1379,2013-04-08,36,56070,0,Zuntexon,Logistics,Logistics,Electrolytes,"Naperville, IL",Excessive Grease,Rejected
1380,2013-04-03,34,196,0,D-zohex,Logistics,Logistics,Batteries,"Naperville, IL",Damaged Secondary Packaging,Rejected
1381,2013-03-29,185,113,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1382,2013-03-28,211,2,0,Planethouse,Packaging,Packaging,Hardware,"Northbrook, IL",No Fill,Rejected
1383,2013-03-27,207,18,0,Tamcan,Logistics,Logistics,Electrolytes,"Milwaukee, Wi",Foreign Objects,Rejected
1384,2013-03-25,105,2564,0,Keyzunbase,Packaging,Packaging,Molds,"Detriot, MI",Wrong Labeling,Rejected
1385,2013-03-19,138,44429,0,Solholdings,Packaging,Packaging,Molds,"Detriot, MI",Soft Tops,Rejected
1386,2013-03-19,138,1026,0,Solholdings,Packaging,Packaging,Molds,"Detriot, MI",Soft Tops,Rejected
1387,2013-03-19,184,213,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1388,2013-03-19,184,211,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1389,2013-03-19,184,49,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1390,2013-03-16,163,668,0,Zuntexon,Logistics,Logistics,Electrolytes,"Naperville, IL",Missing Components,Rejected
1391,2013-03-14,29,196,0,D-zohex,Logistics,Logistics,Batteries,"Naperville, IL",Warped,Rejected
1392,2013-03-06,218,19287,0,Planethouse,Packaging,Packaging,Motors,"Northbrook, IL",Out of Specification,Rejected
1393,2013-03-05,221,15602,0,Dentocity,Goods & Services,Goods & Services,Drives,"Monon, IN",Thin Packaging,Rejected
1394,2013-02-08,123,1238,0,Sunjob,Packaging,Packaging,Electrolytes,"Detriot, MI",Mixed Parts,Rejected
1395,2013-01-25,195,23363,0,Tamcan,Logistics,Logistics,Electrolytes,"Milwaukee, Wi",No Shipment Info,Rejected
1396,2013-01-23,184,150,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",Does Not Run,Rejected
1397,2013-01-18,185,54,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1398,2013-01-15,194,3115,0,Daltfax,Mechanicals,Mechanicals,Motors,"Lansing, MI",Wrong Item,Rejected
1399,2013-01-01,183,102,0,Itdom,Electrical,Electrical,Packaging,"Grand Rapids, MI",No Docs,Rejected
1400,2013-01-01,185,80,0,Zamholdings,Electrical,Electrical,Packaging,"Grand Rapids, MI",String Defects,Rejected
1401,2014-12-22,144,175,0,Dongbiolex,Mechanicals,Mechanicals,Labels,"Kalamazoo, MI",Missing Labels,No Impact
1402,2014-12-03,154,12460,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Print Impression,Rejected
1403,2014-10-29,42,93912,0,Quotelane,Logistics,Logistics,Labels,"Bangor, MI",Damaged Rolls,Rejected
1404,2014-09-14,276,5358,0,Zummatexon,Electrical,Electrical,Labels,"Grand Rapids, MI",Mishandled,No Impact
1405,2014-08-26,49,1780,0,Quotelane,Logistics,Logistics,Labels,"Bangor, MI",Slitting Erorrs,No Impact
1406,2014-08-03,58,64080,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Incorrect Material,Rejected
1407,2014-06-12,109,439660,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Wrong Shade of Color,Rejected
1408,2014-06-10,58,13350,0,Yearlex,Packaging,Packaging,Labels,"Detriot, MI",Incorrect Material,Rejected
1409,2014-06-09,25,124600,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Misc,No Impact
1410,2014-05-31,25,6408,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Misc,Rejected
1411,2014-05-21,58,51976,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Incorrect Material,Rejected
1412,2014-05-03,269,2937,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Excessive Glue,Rejected
1413,2014-05-03,26,445,0,Zoomhex,Logistics,Logistics,Labels,"Naperville, IL",Loose Core,Rejected
1414,2014-04-16,178,14685,0,Newzap,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Missing Labels,No Impact
1415,2014-03-31,25,94073,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Misc,Rejected
1416,2014-03-31,77,4183,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Wrong Ink,Rejected
1417,2014-03-16,77,35600,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",Wrong Ink,No Impact
1418,2014-03-11,49,160200,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",Slitting Erorrs,No Impact
1419,2014-02-16,233,4005,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Bad Labels,Rejected
1420,2014-02-14,51,15,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",No Adhesive,Rejected
1421,2014-01-29,233,11125,0,Quotelane,Logistics,Logistics,Labels,"Madison, WI",Bad Labels,No Impact
1422,2014-01-29,233,11125,0,Quotelane,Logistics,Logistics,Labels,"Madison, WI",Bad Labels,Impact
1423,2014-01-29,233,11125,0,Quotelane,Logistics,Logistics,Labels,"Madison, WI",Bad Labels,Impact
1424,2014-01-29,233,11125,0,Quotelane,Logistics,Logistics,Labels,"Madison, WI",Bad Labels,Impact
1425,2014-01-28,45,12397,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Split Seams,No Impact
1426,2014-01-28,51,12397,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",No Adhesive,No Impact
1427,2014-01-26,46,50853,0,Quotelane,Mechanicals,Mechanicals,Labels,"Green Bay, WI",Film Not Sealing,Rejected
1428,2014-01-18,57,40050,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",Wrong Label,Rejected
1429,2014-01-18,76,17800,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",No Print,Rejected
1430,2014-01-17,109,160200,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",Wrong Shade of Color,No Impact
1431,2014-01-17,109,106800,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",Wrong Shade of Color,No Impact
1432,2014-01-17,46,50853,0,Quotelane,Mechanicals,Mechanicals,Labels,"Toledo, OH",Film Not Sealing,Impact
1433,2014-01-06,150,35600,0,Dentocity,Mechanicals,Mechanicals,Labels,"Toledo, OH",Too Much Chemicals,Rejected
1434,2014-01-02,46,305117,0,Quotelane,Mechanicals,Mechanicals,Labels,"Green Bay, WI",Film Not Sealing,No Impact
1435,2013-12-25,150,33358,0,Zentrax,Logistics,Logistics,Labels,"Naperville, IL",Too Much Chemicals,Rejected
1436,2013-12-23,42,22250,0,Zentrax,Logistics,Logistics,Labels,"Madison, WI",Damaged Rolls,No Impact
1437,2013-12-16,25,4,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Misc,Rejected
1438,2013-12-09,77,191,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Wrong Ink,No Impact
1439,2013-11-28,109,4005,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Wrong Shade of Color,Rejected
1440,2013-11-19,76,120150,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",No Print,Rejected
1441,2013-11-13,77,4984,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Wrong Ink,Rejected
1442,2013-11-07,222,10680,0,Yearlex,Packaging,Packaging,Labels,"Detriot, MI",Smeared Print,No Impact
1443,2013-10-25,58,62300,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Incorrect Material,Rejected
1444,2013-10-25,58,25098,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Incorrect Material,Rejected
1445,2013-10-18,45,15,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Split Seams,Rejected
1446,2013-10-01,200,133500,0,Zummatexon,Logistics,Logistics,Labels,"Madison, WI",Print Off Center,Impact
1447,2013-10-01,154,24413,0,Zummatexon,Logistics,Logistics,Labels,"Madison, WI",Print Impression,No Impact
1448,2013-09-22,150,64080,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Too Much Chemicals,Impact
1449,2013-09-15,26,327520,0,Solholdings,Electrical,Electrical,Labels,"Grand Rapids, MI",Loose Core,Rejected
1450,2013-09-15,46,10,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Film Not Sealing,Rejected
1451,2013-09-04,44,59329,0,Quotelane,Mechanicals,Mechanicals,Labels,"Skokie, IL",Roll Tension,No Impact
1452,2013-08-21,43,10,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Wrong Core,Rejected
1453,2013-07-16,58,74760,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Incorrect Material,Rejected
1454,2013-07-07,50,30481,0,Dentocity,Goods & Services,Goods & Services,Labels,"Monon, IN",Tension Issues,Rejected
1455,2013-06-22,50,15130,0,Dentocity,Goods & Services,Goods & Services,Labels,"Monon, IN",Tension Issues,Rejected
1456,2013-06-12,58,29370,0,Yearlex,Packaging,Packaging,Labels,"Detriot, MI",Incorrect Material,Rejected
1457,2013-06-05,58,13350,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Incorrect Material,Impact
1458,2013-06-03,77,7209,0,Yearlex,Packaging,Packaging,Labels,"Detriot, MI",Wrong Ink,Rejected
1459,2013-05-27,60,104842,0,Quotelane,Logistics,Logistics,Labels,"Naperville, IL",Wrong Registration,Impact
1460,2013-05-22,76,2,0,Zerfax,Electrical,Electrical,Labels,"Grand Rapids, MI",No Print,Rejected
1461,2013-05-12,46,19,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Film Not Sealing,Rejected
1462,2013-04-25,150,33358,0,Zentrax,Logistics,Logistics,Labels,"Naperville, IL",Too Much Chemicals,Rejected
1463,2013-04-23,42,22250,0,Zentrax,Logistics,Logistics,Labels,"Madison, WI",Damaged Rolls,No Impact
1464,2013-04-16,25,4,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Misc,Rejected
1465,2013-04-09,77,191,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Wrong Ink,No Impact
1466,2013-03-28,109,4005,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Wrong Shade of Color,Rejected
1467,2013-03-19,76,120150,0,Zunice,Logistics,Logistics,Labels,"Milwaukee, Wi",No Print,Rejected
1468,2013-03-13,77,4984,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Wrong Ink,Rejected
1469,2013-03-07,222,10680,0,Yearlex,Packaging,Packaging,Labels,"Detriot, MI",Smeared Print,No Impact
1470,2013-02-25,58,62300,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Incorrect Material,Rejected
1471,2013-02-25,58,25098,0,Yearlex,Packaging,Packaging,Labels,"Northbrook, IL",Incorrect Material,Rejected
1472,2013-02-18,45,15,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Split Seams,Rejected
1473,2013-02-01,200,133500,0,Zummatexon,Logistics,Logistics,Labels,"Madison, WI",Print Off Center,Impact
1474,2013-02-01,154,24413,0,Zummatexon,Logistics,Logistics,Labels,"Madison, WI",Print Impression,No Impact
1475,2013-01-22,150,64080,0,Bamtechnology,Packaging,Packaging,Labels,"Detriot, MI",Too Much Chemicals,Impact
1476,2013-01-15,26,327520,0,Solholdings,Electrical,Electrical,Labels,"Grand Rapids, MI",Loose Core,Rejected
1477,2013-01-15,46,10,0,Quotelane,Mechanicals,Mechanicals,Labels,"Indianapolis, IN",Film Not Sealing,Rejected
1478,2013-01-04,44,59329,0,Quotelane,Mechanicals,Mechanicals,Labels,"Skokie, IL",Roll Tension,No Impact
1479,2014-12-14,77,20203,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Ink,Rejected
1480,2014-12-14,76,17800,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",No Print,Rejected
1481,2014-12-14,60,17800,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Registration,Rejected
1482,2014-12-14,60,1113,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Registration,Rejected
1483,2014-12-08,278,983,0,Solholdings,Logistics,Logistics,Film,"Madison, WI",Failed Tension Test,Rejected
1484,2014-12-04,26,10680,0,Dentocity,Goods & Services,Goods & Services,Film,"Monon, IN",Loose Core,Rejected
1485,2014-12-03,254,712,0,Zentrax,Logistics,Logistics,Film,"Milwaukee, Wi",Seams,No Impact
1486,2014-11-24,53,365612,0,Solholdings,Mechanicals,Mechanicals,Film,"Skokie, IL",Creases / Wrinkles,Impact
1487,2014-11-17,278,23582,0,Solholdings,Logistics,Logistics,Film,"Madison, WI",Failed Tension Test,Rejected
1488,2014-11-16,74,71200,0,Gravemedia,Goods & Services,Goods & Services,Film,"Monon, IN",Film Not Intact,Rejected
1489,2014-11-16,46,71200,0,Gravemedia,Goods & Services,Goods & Services,Film,"Monon, IN",Film Not Sealing,Rejected
1490,2014-11-12,26,15602,0,Dentocity,Goods & Services,Goods & Services,Film,"Monon, IN",Loose Core,Rejected
1491,2014-11-09,33,33464,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",No Bar Code,Rejected
1492,2014-11-09,25,983,0,Solholdings,Logistics,Logistics,Film,"Madison, WI",Misc,Rejected
1493,2014-11-02,109,58562,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1494,2014-10-30,278,983,0,Solholdings,Logistics,Logistics,Film,"Madison, WI",Failed Tension Test,Rejected
1495,2014-10-28,37,3433,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Incorrect Dimensions,No Impact
1496,2014-10-26,147,746,0,Solholdings,Mechanicals,Mechanicals,Film,"Elgin, IL",Printing Defect,Rejected
1497,2014-10-23,48,983,0,Solholdings,Logistics,Logistics,Film,"Madison, WI",Wrong Core,Rejected
1498,2014-10-21,26,8476,0,Quotelane,Mechanicals,Mechanicals,Film,"Green Bay, WI",Loose Core,Rejected
1499,2014-10-18,45,3815,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Split Seams,No Impact
1500,2014-10-16,37,3433,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Incorrect Dimensions,No Impact
1501,2014-10-07,26,8476,0,Quotelane,Mechanicals,Mechanicals,Film,"Green Bay, WI",Loose Core,Rejected
1502,2014-10-07,42,8476,0,Quotelane,Mechanicals,Mechanicals,Film,"Green Bay, WI",Damaged Rolls,Rejected
1503,2014-10-06,46,479,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Film Not Sealing,Rejected
1504,2014-10-03,45,4450,0,Quotelane,Logistics,Logistics,Film,"Naperville, IL",Split Seams,Rejected
1505,2014-10-01,298,19072,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",No Adhesive,Rejected
1506,2014-09-28,37,16910,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Incorrect Dimensions,Rejected
1507,2014-09-24,26,8476,0,Quotelane,Mechanicals,Mechanicals,Film,"Green Bay, WI",Loose Core,Rejected
1508,2014-09-24,285,8476,0,Quotelane,Mechanicals,Mechanicals,Film,"Green Bay, WI",Wrong Makeup,Rejected
1509,2014-09-16,42,10378,0,Donremlane,Mechanicals,Mechanicals,Film,"Elgin, IL",Damaged Rolls,Rejected
1510,2014-09-16,278,27,0,Solholdings,Mechanicals,Mechanicals,Film,"Elgin, IL",Failed Tension Test,Rejected
1511,2014-09-14,25,427200,0,Dentocity,Mechanicals,Mechanicals,Film,"Kalamazoo, MI",Misc,No Impact
1512,2014-09-10,278,19072,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Failed Tension Test,Rejected
1513,2014-08-31,53,983,0,Solholdings,Logistics,Logistics,Film,"Madison, WI",Creases / Wrinkles,Rejected
1514,2014-08-30,53,10378,0,Donremlane,Mechanicals,Mechanicals,Film,"Elgin, IL",Creases / Wrinkles,Rejected
1515,2014-08-30,60,4173,0,Quotelane,Logistics,Logistics,Film,"Naperville, IL",Wrong Registration,No Impact
1516,2014-08-30,48,382,0,Quotelane,Mechanicals,Mechanicals,Film,"Elgin, IL",Wrong Core,Rejected
1517,2014-08-24,278,87932,0,Solholdings,Mechanicals,Mechanicals,Film,"Skokie, IL",Failed Tension Test,Impact
1518,2014-08-21,285,866,0,Carekix,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Makeup,No Impact
1519,2014-08-21,285,207,0,Carekix,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Makeup,No Impact
1520,2014-08-20,285,510,0,Carekix,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Makeup,No Impact
1521,2014-08-20,285,263,0,Carekix,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Makeup,No Impact
1522,2014-08-17,25,15575,0,Dentocity,Goods & Services,Goods & Services,Film,"Monon, IN",Misc,No Impact
1523,2014-08-17,69,4628,0,Solholdings,Mechanicals,Mechanicals,Film,"Skokie, IL",Foreign Material,Rejected
1524,2014-08-10,158,64347,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Expired,No Impact
1525,2014-07-21,25,40516,0,Solholdings,Mechanicals,Mechanicals,Film,"Elgin, IL",Misc,No Impact
1526,2014-07-21,25,12460,0,Gravemedia,Goods & Services,Goods & Services,Film,"Monon, IN",Misc,No Impact
1527,2014-07-19,77,4717,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Ink,No Impact
1528,2014-07-19,77,3560,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Ink,No Impact
1529,2014-07-16,109,4450,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Impact
1530,2014-07-12,25,35600,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Misc,Rejected
1531,2014-07-12,158,17800,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Expired,Rejected
1532,2014-07-12,109,15130,0,Zunice,Logistics,Logistics,Film,"Milwaukee, Wi",Wrong Shade of Color,Rejected
1533,2014-07-09,147,20470,0,Solholdings,Mechanicals,Mechanicals,Film,"Elgin, IL",Printing Defect,No Impact
1534,2014-07-06,109,18334,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1535,2014-07-06,109,10680,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1536,2014-07-06,26,57,0,Quotelane,Mechanicals,Mechanicals,Film,"Indianapolis, IN",Loose Core,Rejected
1537,2014-07-01,109,5340,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Impact
1538,2014-06-23,109,26789,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1539,2014-06-22,109,37736,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1540,2014-06-22,109,16020,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1541,2014-06-21,109,18868,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Impact
1542,2014-06-18,109,10680,0,Runhigh,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Impact
1543,2014-06-18,109,7743,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
1544,2014-06-18,54,1442,0,Alphadax,Mechanicals,Mechanicals,Film,"Skokie, IL",Splice,Impact
1545,2014-06-15,109,47170,0,Solholdings,Packaging,Packaging,Film,"Rockford, IL",Wrong Shade of Color,Rejected
