AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,SCHEDULED_TIME,ELAPSED_TIME,DELAY_LEVEL
AA,DFW,SFO,2015-01-01 07:55:00,08:41:00,46.0,09:45:00,10:34:00,49.0,230.0,233.0,2
AA,SAN,JFK,2015-01-01 07:55:00,08:10:00,15.0,16:15:00,15:51:00,-24.0,320.0,281.0,1
AA,DFW,MCO,2015-01-01 07:55:00,07:54:00,-1.0,11:25:00,11:29:00,4.0,150.0,155.0,0
AA,DFW,EWR,2015-01-01 07:55:00,07:51:00,-4.0,12:00:00,12:06:00,6.0,185.0,195.0,0
B6,JFK,SAV,2015-01-01 07:55:00,07:53:00,-2.0,10:14:00,09:57:00,-17.0,139.0,124.0,0
B6,RIC,MCO,2015-01-01 07:55:00,07:42:00,-13.0,10:02:00,09:36:00,-26.0,127.0,114.0,0
DL,MIA,LAX,2015-01-01 07:55:00,07:53:00,-2.0,10:55:00,10:52:00,-3.0,360.0,359.0,0
DL,STL,SLC,2015-01-01 07:55:00,07:53:00,-2.0,10:15:00,10:01:00,-14.0,200.0,188.0,0
DL,SJU,JFK,2015-01-01 07:55:00,07:52:00,-3.0,10:54:00,10:57:00,3.0,239.0,245.0,0
EV,LIT,IAH,2015-01-01 07:55:00,08:02:00,7.0,09:30:00,09:38:00,8.0,95.0,96.0,1
MQ,TYS,ORD,2015-01-01 07:55:00,11:51:00,236.0,08:50:00,12:34:00,224.0,115.0,103.0,2
OO,FAT,LAX,2015-01-01 07:55:00,07:54:00,-1.0,09:10:00,09:02:00,-8.0,75.0,68.0,0
EV,TUL,IAH,2015-01-01 07:55:00,07:48:00,-7.0,09:35:00,09:26:00,-9.0,100.0,98.0,0
OO,SBP,LAX,2015-01-01 07:55:00,07:53:00,-2.0,09:06:00,09:32:00,26.0,71.0,99.0,0
OO,ASE,DEN,2015-01-01 07:55:00,08:07:00,12.0,08:57:00,09:18:00,21.0,62.0,71.0,1
OO,DEN,COS,2015-01-01 07:55:00,08:06:00,11.0,08:34:00,08:49:00,15.0,39.0,43.0,1
OO,DEN,GJT,2015-01-01 07:55:00,07:56:00,1.0,08:57:00,08:49:00,-8.0,62.0,53.0,0
UA,OKC,IAH,2015-01-01 07:57:00,07:51:00,-6.0,09:27:00,09:50:00,23.0,90.0,119.0,0
UA,EWR,SJU,2015-01-01 07:57:00,07:57:00,0.0,12:50:00,12:26:00,-24.0,233.0,209.0,0
B6,DCA,PBI,2015-01-01 07:57:00,07:42:00,-15.0,10:25:00,10:01:00,-24.0,148.0,139.0,0
EV,CAE,ORD,2015-01-01 07:57:00,07:46:00,-11.0,09:05:00,09:08:00,3.0,128.0,142.0,0
OO,VEL,SLC,2015-01-01 07:57:00,09:33:00,96.0,08:49:00,10:33:00,104.0,52.0,60.0,2
OO,DEN,BZN,2015-01-01 07:57:00,08:06:00,9.0,09:46:00,09:58:00,12.0,109.0,112.0,1
UA,EWR,TPA,2015-01-01 07:58:00,07:57:00,-1.0,10:59:00,10:45:00,-14.0,181.0,168.0,0
UA,DEN,IAH,2015-01-01 07:58:00,07:56:00,-2.0,11:14:00,11:12:00,-2.0,136.0,136.0,0
UA,DEN,ORD,2015-01-01 07:58:00,07:58:00,0.0,11:25:00,11:14:00,-11.0,147.0,136.0,0
UA,DEN,IAH,2015-01-01 07:58:00,08:16:00,18.0,11:15:00,11:39:00,24.0,137.0,143.0,1
EV,CLT,ORD,2015-01-01 07:58:00,07:55:00,-3.0,09:05:00,09:14:00,9.0,127.0,139.0,0
OO,SLC,ORD,2015-01-01 07:58:00,08:04:00,6.0,12:17:00,12:42:00,25.0,199.0,218.0,1
US,LGA,CLT,2015-01-01 07:59:00,07:52:00,-7.0,10:04:00,10:10:00,6.0,125.0,138.0,0
UA,EWR,CLE,2015-01-01 07:59:00,07:54:00,-5.0,09:41:00,09:27:00,-14.0,102.0,93.0,0
AA,EWR,MIA,2015-01-01 07:59:00,08:05:00,6.0,11:09:00,11:14:00,5.0,190.0,189.0,1
DL,LGA,TPA,2015-01-01 07:59:00,07:56:00,-3.0,11:10:00,10:37:00,-33.0,191.0,161.0,0
DL,LGA,ATL,2015-01-01 07:59:00,07:56:00,-3.0,10:47:00,10:21:00,-26.0,168.0,145.0,0
OO,DEN,SNA,2015-01-01 07:59:00,08:35:00,36.0,09:28:00,09:42:00,14.0,149.0,127.0,1
OO,DEN,PUB,2015-01-01 08:00:00,08:00:00,0.0,08:48:00,08:42:00,-6.0,48.0,42.0,0
OO,LAS,SLC,2015-01-01 08:00:00,07:55:00,-5.0,10:25:00,10:24:00,-1.0,85.0,89.0,0
UA,SNA,SFO,2015-01-01 08:00:00,08:09:00,9.0,09:31:00,09:30:00,-1.0,91.0,81.0,1
UA,BWI,IAH,2015-01-01 08:00:00,08:12:00,12.0,10:32:00,10:46:00,14.0,212.0,214.0,1
UA,EWR,DEN,2015-01-01 08:00:00,07:59:00,-1.0,10:28:00,10:41:00,13.0,268.0,282.0,0
US,PIT,LAX,2015-01-01 08:00:00,08:00:00,0.0,10:35:00,10:29:00,-6.0,335.0,329.0,0
US,ALB,CLT,2015-01-01 08:00:00,08:00:00,0.0,10:26:00,10:18:00,-8.0,146.0,138.0,0
US,PVD,CLT,2015-01-01 08:00:00,08:01:00,1.0,10:22:00,10:24:00,2.0,142.0,143.0,0
US,PBI,PHL,2015-01-01 08:00:00,07:55:00,-5.0,10:39:00,10:24:00,-15.0,159.0,149.0,0
UA,IND,SFO,2015-01-01 08:00:00,07:56:00,-4.0,10:04:00,09:30:00,-34.0,304.0,274.0,0
UA,SAN,SFO,2015-01-01 08:00:00,07:58:00,-2.0,09:40:00,09:49:00,9.0,100.0,111.0,0
UA,LAS,SFO,2015-01-01 08:00:00,07:56:00,-4.0,09:45:00,09:15:00,-30.0,105.0,79.0,0
VX,LAS,LAX,2015-01-01 08:00:00,08:02:00,2.0,09:10:00,09:04:00,-6.0,70.0,62.0,0
VX,SFO,EWR,2015-01-01 08:00:00,07:54:00,-6.0,16:30:00,15:59:00,-31.0,330.0,305.0,0
VX,SFO,LAX,2015-01-01 08:00:00,07:59:00,-1.0,09:20:00,09:14:00,-6.0,80.0,75.0,0
VX,SFO,DCA,2015-01-01 08:00:00,07:52:00,-8.0,16:00:00,15:38:00,-22.0,300.0,286.0,0
VX,AUS,SFO,2015-01-01 08:00:00,07:59:00,-1.0,10:00:00,09:44:00,-16.0,240.0,225.0,0
VX,JFK,FLL,2015-01-01 08:00:00,07:56:00,-4.0,11:05:00,10:58:00,-7.0,185.0,182.0,0
WN,DAL,DCA,2015-01-01 08:00:00,07:58:00,-2.0,11:45:00,11:13:00,-32.0,165.0,135.0,0
WN,DTW,LAS,2015-01-01 08:00:00,08:00:00,0.0,09:40:00,09:21:00,-19.0,280.0,261.0,0
WN,LAS,BOI,2015-01-01 08:00:00,07:49:00,-11.0,10:45:00,10:29:00,-16.0,105.0,100.0,0
WN,LAS,MDW,2015-01-01 08:00:00,07:58:00,-2.0,13:30:00,13:17:00,-13.0,210.0,199.0,0
WN,LAS,PHX,2015-01-01 08:00:00,07:52:00,-8.0,10:05:00,09:53:00,-12.0,65.0,61.0,0
WN,MEM,MDW,2015-01-01 08:00:00,07:56:00,-4.0,09:45:00,09:20:00,-25.0,105.0,84.0,0
WN,MSY,DCA,2015-01-01 08:00:00,07:59:00,-1.0,11:20:00,11:08:00,-12.0,140.0,129.0,0
WN,ABQ,PHX,2015-01-01 08:00:00,07:59:00,-1.0,09:15:00,09:35:00,20.0,75.0,96.0,0
WN,PVD,BWI,2015-01-01 08:00:00,07:56:00,-4.0,09:30:00,09:10:00,-20.0,90.0,74.0,0
WN,PVD,MCO,2015-01-01 08:00:00,07:57:00,-3.0,11:05:00,10:50:00,-15.0,185.0,173.0,0
WN,RSW,ATL,2015-01-01 08:00:00,07:54:00,-6.0,09:45:00,09:34:00,-11.0,105.0,100.0,0
WN,SAN,SEA,2015-01-01 08:00:00,07:55:00,-5.0,10:55:00,10:45:00,-10.0,175.0,170.0,0
WN,HOU,HRL,2015-01-01 08:00:00,08:02:00,2.0,09:05:00,09:09:00,4.0,65.0,67.0,0
UA,MCO,EWR,2015-01-01 08:00:00,07:53:00,-7.0,10:34:00,10:20:00,-14.0,154.0,147.0,0
UA,LAX,ORD,2015-01-01 08:00:00,07:59:00,-1.0,14:10:00,13:42:00,-28.0,250.0,223.0,0
UA,SEA,DEN,2015-01-01 08:00:00,08:00:00,0.0,11:37:00,11:52:00,15.0,157.0,172.0,0
UA,BOS,SFO,2015-01-01 08:00:00,08:09:00,9.0,11:50:00,11:40:00,-10.0,410.0,391.0,1
UA,ORD,MCO,2015-01-01 08:00:00,08:14:00,14.0,11:42:00,11:45:00,3.0,162.0,151.0,1
UA,ORD,LGA,2015-01-01 08:00:00,08:00:00,0.0,11:09:00,10:48:00,-21.0,129.0,108.0,0
UA,CLE,ORD,2015-01-01 08:00:00,07:58:00,-2.0,08:33:00,08:24:00,-9.0,93.0,86.0,0
US,IAH,MIA,2015-01-01 08:00:00,07:51:00,-9.0,11:21:00,11:00:00,-21.0,141.0,129.0,0
US,MCO,DCA,2015-01-01 08:00:00,07:52:00,-8.0,10:05:00,09:49:00,-16.0,125.0,117.0,0
US,PHX,DFW,2015-01-01 08:00:00,08:25:00,25.0,11:15:00,11:50:00,35.0,135.0,145.0,1
AA,JFK,SFO,2015-01-01 08:00:00,07:55:00,-5.0,11:40:00,12:28:00,48.0,400.0,453.0,0
AA,JFK,ORD,2015-01-01 08:00:00,08:01:00,1.0,09:55:00,09:57:00,2.0,175.0,176.0,0
AA,DFW,MIA,2015-01-01 08:00:00,09:03:00,63.0,11:45:00,13:03:00,78.0,165.0,180.0,2
AA,LAX,MIA,2015-01-01 08:00:00,07:59:00,-1.0,15:52:00,15:39:00,-13.0,292.0,280.0,0
AA,STL,DFW,2015-01-01 08:00:00,07:52:00,-8.0,10:00:00,09:54:00,-6.0,120.0,122.0,0
AA,JFK,STT,2015-01-01 08:00:00,07:55:00,-5.0,12:55:00,12:35:00,-20.0,235.0,220.0,0
AA,SNA,DFW,2015-01-01 08:00:00,08:07:00,7.0,12:55:00,12:46:00,-9.0,175.0,159.0,1
AA,TUL,ORD,2015-01-01 08:00:00,08:41:00,41.0,09:50:00,10:11:00,21.0,110.0,90.0,1
AA,DFW,HDN,2015-01-01 08:00:00,09:18:00,78.0,09:25:00,10:43:00,78.0,145.0,145.0,2
AA,IAD,LAX,2015-01-01 08:00:00,07:59:00,-1.0,10:50:00,10:52:00,2.0,350.0,353.0,0
AA,DFW,MEM,2015-01-01 08:00:00,09:26:00,86.0,09:30:00,11:04:00,94.0,90.0,98.0,2
AA,DFW,RIC,2015-01-01 08:00:00,07:57:00,-3.0,11:40:00,11:28:00,-12.0,160.0,151.0,0
AA,JAC,DFW,2015-01-01 08:00:00,07:56:00,-4.0,12:00:00,12:21:00,21.0,180.0,205.0,0
AA,LAX,MCO,2015-01-01 08:00:00,07:59:00,-1.0,15:40:00,15:29:00,-11.0,280.0,270.0,0
AA,DFW,BOS,2015-01-01 08:00:00,07:56:00,-4.0,12:25:00,12:46:00,21.0,205.0,230.0,0
AA,LAX,DFW,2015-01-01 08:00:00,07:57:00,-3.0,13:00:00,12:50:00,-10.0,180.0,173.0,0
AA,DFW,LAX,2015-01-01 08:00:00,10:08:00,128.0,09:30:00,11:39:00,129.0,210.0,211.0,2
AS,DCA,SEA,2015-01-01 08:00:00,07:56:00,-4.0,11:00:00,10:37:00,-23.0,360.0,341.0,0
AS,SEA,EWR,2015-01-01 08:00:00,08:09:00,9.0,16:09:00,15:48:00,-21.0,309.0,279.0,1
AS,ORD,SEA,2015-01-01 08:00:00,07:57:00,-3.0,10:39:00,10:12:00,-27.0,279.0,255.0,0
AS,ANC,JNU,2015-01-01 08:00:00,07:48:00,-12.0,09:40:00,09:38:00,-2.0,100.0,110.0,0
AS,SEA,ANC,2015-01-01 08:00:00,08:02:00,2.0,10:55:00,10:33:00,-22.0,235.0,211.0,0
AS,SJC,SEA,2015-01-01 08:00:00,08:07:00,7.0,10:04:00,10:05:00,1.0,124.0,118.0,1
AS,SAN,SEA,2015-01-01 08:00:00,07:52:00,-8.0,10:54:00,10:49:00,-5.0,174.0,177.0,0
AS,SNA,SEA,2015-01-01 08:00:00,07:48:00,-12.0,10:55:00,10:23:00,-32.0,175.0,155.0,0
AS,PDX,LAS,2015-01-01 08:00:00,07:52:00,-8.0,10:02:00,09:48:00,-14.0,122.0,116.0,0
AS,PHX,SEA,2015-01-01 08:00:00,07:51:00,-9.0,10:00:00,09:43:00,-17.0,180.0,172.0,0
AS,DFW,SEA,2015-01-01 08:00:00,07:55:00,-5.0,10:34:00,10:41:00,7.0,274.0,286.0,0
AS,DEN,SEA,2015-01-01 08:00:00,07:54:00,-6.0,10:11:00,09:41:00,-30.0,191.0,167.0,0
AS,SEA,GEG,2015-01-01 08:00:00,07:57:00,-3.0,09:00:00,09:02:00,2.0,60.0,65.0,0
B6,HPN,FLL,2015-01-01 08:00:00,08:01:00,1.0,11:11:00,10:51:00,-20.0,191.0,170.0,0
B6,BOS,LAX,2015-01-01 08:00:00,07:57:00,-3.0,11:35:00,11:31:00,-4.0,395.0,394.0,0
B6,SFO,BOS,2015-01-01 08:00:00,08:00:00,0.0,16:29:00,16:23:00,-6.0,329.0,323.0,0
B6,BOS,JFK,2015-01-01 08:00:00,07:55:00,-5.0,09:16:00,09:14:00,-2.0,76.0,79.0,0
B6,JFK,JAX,2015-01-01 08:00:00,07:52:00,-8.0,10:38:00,10:19:00,-19.0,158.0,147.0,0
B6,JAX,FLL,2015-01-01 08:00:00,07:50:00,-10.0,09:12:00,09:05:00,-7.0,72.0,75.0,0
B6,DCA,SJU,2015-01-01 08:00:00,07:54:00,-6.0,12:41:00,12:01:00,-40.0,221.0,187.0,0
B6,JFK,MCO,2015-01-01 08:00:00,07:59:00,-1.0,11:01:00,10:54:00,-7.0,181.0,175.0,0
B6,MCO,ORH,2015-01-01 08:00:00,07:57:00,-3.0,10:37:00,10:27:00,-10.0,157.0,150.0,0
DL,JFK,TPA,2015-01-01 08:00:00,07:53:00,-7.0,11:11:00,10:46:00,-25.0,191.0,173.0,0
DL,DFW,MSP,2015-01-01 08:00:00,08:58:00,58.0,10:22:00,11:17:00,55.0,142.0,139.0,2
DL,BOS,MSP,2015-01-01 08:00:00,07:54:00,-6.0,10:27:00,10:29:00,2.0,207.0,215.0,0
DL,STT,ATL,2015-01-01 08:00:00,07:53:00,-7.0,11:06:00,11:02:00,-4.0,246.0,249.0,0
DL,OMA,DTW,2015-01-01 08:00:00,07:59:00,-1.0,10:57:00,10:46:00,-11.0,117.0,107.0,0
DL,FLL,LGA,2015-01-01 08:00:00,07:55:00,-5.0,10:51:00,10:36:00,-15.0,171.0,161.0,0
DL,DCA,ATL,2015-01-01 08:00:00,07:54:00,-6.0,10:04:00,09:42:00,-22.0,124.0,108.0,0
DL,SJU,ATL,2015-01-01 08:00:00,08:00:00,0.0,10:57:00,10:43:00,-14.0,237.0,223.0,0
DL,TPA,MSP,2015-01-01 08:00:00,07:58:00,-2.0,10:27:00,10:14:00,-13.0,207.0,196.0,0
DL,ABQ,ATL,2015-01-01 08:00:00,07:55:00,-5.0,12:56:00,12:47:00,-9.0,176.0,172.0,0
DL,AUS,JFK,2015-01-01 08:00:00,08:13:00,13.0,12:28:00,12:28:00,0.0,208.0,195.0,1
DL,MDW,ATL,2015-01-01 08:00:00,08:38:00,38.0,10:57:00,11:16:00,19.0,117.0,98.0,1
DL,ATL,FLL,2015-01-01 08:00:00,07:59:00,-1.0,09:50:00,09:37:00,-13.0,110.0,98.0,0
DL,LGA,FLL,2015-01-01 08:00:00,08:00:00,0.0,11:24:00,11:03:00,-21.0,204.0,183.0,0
DL,PBI,LGA,2015-01-01 08:00:00,07:58:00,-2.0,10:43:00,10:34:00,-9.0,163.0,156.0,0
DL,LGA,PBI,2015-01-01 08:00:00,07:58:00,-2.0,11:14:00,10:47:00,-27.0,194.0,169.0,0
DL,JFK,MSP,2015-01-01 08:00:00,08:35:00,35.0,10:23:00,10:50:00,27.0,203.0,195.0,1
DL,LGA,DEN,2015-01-01 08:00:00,08:00:00,0.0,10:45:00,10:42:00,-3.0,285.0,282.0,0
DL,DTW,PBI,2015-01-01 08:00:00,07:54:00,-6.0,11:05:00,10:57:00,-8.0,185.0,183.0,0
DL,JFK,RSW,2015-01-01 08:00:00,07:56:00,-4.0,11:29:00,11:02:00,-27.0,209.0,186.0,0
DL,DEN,ATL,2015-01-01 08:00:00,08:00:00,0.0,13:05:00,12:48:00,-17.0,185.0,168.0,0
DL,BZN,ATL,2015-01-01 08:00:00,07:57:00,-3.0,13:52:00,13:40:00,-12.0,232.0,223.0,0
DL,FLL,DTW,2015-01-01 08:00:00,07:58:00,-2.0,11:02:00,11:12:00,10.0,182.0,194.0,0
DL,PHX,MSP,2015-01-01 08:00:00,08:20:00,20.0,12:07:00,12:10:00,3.0,187.0,170.0,1
B6,EWR,RSW,2015-01-01 08:00:00,07:55:00,-5.0,11:21:00,10:57:00,-24.0,201.0,182.0,0
B6,MCO,BUF,2015-01-01 08:00:00,07:58:00,-2.0,10:33:00,10:33:00,0.0,153.0,155.0,0
EV,SAV,LGA,2015-01-01 08:00:00,07:59:00,-1.0,10:12:00,10:00:00,-12.0,132.0,121.0,0
EV,XNA,DEN,2015-01-01 08:00:00,07:56:00,-4.0,09:10:00,09:02:00,-8.0,130.0,126.0,0
EV,EWR,SYR,2015-01-01 08:00:00,08:15:00,15.0,09:15:00,09:22:00,7.0,75.0,67.0,1
EV,BNA,DEN,2015-01-01 08:00:00,07:51:00,-9.0,10:20:00,10:16:00,-4.0,200.0,205.0,0
EV,SAF,DEN,2015-01-01 08:00:00,07:55:00,-5.0,09:24:00,09:57:00,33.0,84.0,122.0,0
F9,DEN,SFO,2015-01-01 08:00:00,07:58:00,-2.0,09:39:00,09:13:00,-26.0,159.0,135.0,0
HA,HNL,LAX,2015-01-01 08:00:00,08:10:00,10.0,15:25:00,15:13:00,-12.0,325.0,303.0,1
HA,PHX,HNL,2015-01-01 08:00:00,07:50:00,-10.0,11:40:00,11:44:00,4.0,400.0,414.0,0
HA,KOA,HNL,2015-01-01 08:00:00,07:54:00,-6.0,08:43:00,08:39:00,-4.0,43.0,45.0,0
HA,HNL,OGG,2015-01-01 08:00:00,07:53:00,-7.0,08:37:00,08:33:00,-4.0,37.0,40.0,0
MQ,LEX,ORD,2015-01-01 08:00:00,07:58:00,-2.0,08:35:00,08:23:00,-12.0,95.0,85.0,0
MQ,STL,LGA,2015-01-01 08:00:00,07:57:00,-3.0,11:20:00,11:34:00,14.0,140.0,157.0,0
MQ,PIA,ORD,2015-01-01 08:00:00,07:55:00,-5.0,09:10:00,09:35:00,25.0,70.0,100.0,0
EV,SAV,IAH,2015-01-01 08:00:00,08:01:00,1.0,09:40:00,09:55:00,15.0,160.0,174.0,0
NK,FLL,ACY,2015-01-01 08:00:00,08:15:00,15.0,10:25:00,10:43:00,18.0,145.0,148.0,1
NK,SAN,IAH,2015-01-01 08:00:00,07:52:00,-8.0,12:58:00,12:51:00,-7.0,178.0,179.0,0
OO,MKE,ORD,2015-01-01 08:00:00,07:50:00,-10.0,08:54:00,08:41:00,-13.0,54.0,51.0,0
OO,PSP,SFO,2015-01-01 08:00:00,11:00:00,180.0,09:36:00,12:35:00,179.0,96.0,95.0,2
OO,MCI,SFO,2015-01-01 08:00:00,07:58:00,-2.0,10:07:00,11:12:00,65.0,247.0,314.0,0
OO,COS,SEA,2015-01-01 08:00:00,07:58:00,-2.0,10:05:00,09:30:00,-35.0,185.0,152.0,0
OO,SLC,PDX,2015-01-01 08:00:00,08:30:00,30.0,08:55:00,09:33:00,38.0,115.0,123.0,1
OO,LAX,SAN,2015-01-01 08:00:00,07:56:00,-4.0,08:50:00,08:38:00,-12.0,50.0,42.0,0
OO,ORD,DCA,2015-01-01 08:00:00,08:00:00,0.0,10:51:00,10:35:00,-16.0,111.0,95.0,0
OO,COS,SFO,2015-01-01 08:00:00,07:56:00,-4.0,10:05:00,09:45:00,-20.0,185.0,169.0,0
OO,YUM,PHX,2015-01-01 08:00:00,09:29:00,89.0,08:55:00,10:13:00,78.0,55.0,44.0,2
OO,SBA,SFO,2015-01-01 08:00:00,07:58:00,-2.0,09:30:00,09:22:00,-8.0,90.0,84.0,0
OO,DEN,SAN,2015-01-01 08:00:00,08:59:00,59.0,09:30:00,10:11:00,41.0,150.0,132.0,2
UA,DCA,IAH,2015-01-01 08:01:00,07:58:00,-3.0,10:34:00,10:25:00,-9.0,213.0,207.0,0
NK,LAS,DEN,2015-01-01 08:01:00,07:56:00,-5.0,10:49:00,10:44:00,-5.0,108.0,108.0,0
UA,IAD,SFO,2015-01-01 08:02:00,08:28:00,26.0,11:14:00,11:15:00,1.0,372.0,347.0,1
UA,MCO,ORD,2015-01-01 08:02:00,08:05:00,3.0,09:58:00,09:57:00,-1.0,176.0,172.0,0
UA,SFO,DEN,2015-01-01 08:02:00,08:05:00,3.0,11:35:00,11:53:00,18.0,153.0,168.0,0
B6,JFK,CLT,2015-01-01 08:02:00,08:00:00,-2.0,10:10:00,10:00:00,-10.0,128.0,120.0,0
OO,FCA,DEN,2015-01-01 08:02:00,07:57:00,-5.0,10:15:00,10:33:00,18.0,133.0,156.0,0
EV,MCI,IAD,2015-01-01 08:03:00,07:55:00,-8.0,11:28:00,11:05:00,-23.0,145.0,130.0,0
UA,DEN,LAX,2015-01-01 08:04:00,08:05:00,1.0,09:39:00,09:34:00,-5.0,155.0,149.0,0
B6,BWI,BOS,2015-01-01 08:04:00,07:52:00,-12.0,09:25:00,09:11:00,-14.0,81.0,79.0,0
DL,MIA,DTW,2015-01-01 08:04:00,07:59:00,-5.0,11:15:00,11:09:00,-6.0,191.0,190.0,0
OO,DEN,SAT,2015-01-01 08:04:00,08:21:00,17.0,11:16:00,11:30:00,14.0,132.0,129.0,1
OO,LAX,SAT,2015-01-01 08:04:00,08:23:00,19.0,12:56:00,13:20:00,24.0,172.0,177.0,1
US,BDL,CLT,2015-01-01 08:05:00,08:03:00,-2.0,10:20:00,10:36:00,16.0,135.0,153.0,0
US,DEN,PHX,2015-01-01 08:05:00,08:01:00,-4.0,10:15:00,10:25:00,10.0,130.0,144.0,0
US,EWR,CLT,2015-01-01 08:05:00,08:05:00,0.0,10:08:00,10:33:00,25.0,123.0,148.0,0
WN,ATL,HOU,2015-01-01 08:05:00,08:06:00,1.0,09:20:00,09:17:00,-3.0,135.0,131.0,0
WN,BOS,BWI,2015-01-01 08:05:00,07:57:00,-8.0,09:40:00,09:21:00,-19.0,95.0,84.0,0
WN,BWI,BOS,2015-01-01 08:05:00,08:02:00,-3.0,09:30:00,09:21:00,-9.0,85.0,79.0,0
WN,DAL,STL,2015-01-01 08:05:00,08:01:00,-4.0,09:40:00,09:25:00,-15.0,95.0,84.0,0
WN,GRR,DEN,2015-01-01 08:05:00,07:56:00,-9.0,09:15:00,08:59:00,-16.0,190.0,183.0,0
WN,MCI,DAL,2015-01-01 08:05:00,07:56:00,-9.0,09:40:00,09:30:00,-10.0,95.0,94.0,0
WN,MSY,DEN,2015-01-01 08:05:00,08:06:00,1.0,10:00:00,09:57:00,-3.0,175.0,171.0,0
WN,PHX,MDW,2015-01-01 08:05:00,08:05:00,0.0,12:20:00,12:02:00,-18.0,195.0,177.0,0
WN,ROC,MDW,2015-01-01 08:05:00,07:59:00,-6.0,09:15:00,09:09:00,-6.0,130.0,130.0,0
WN,TPA,HOU,2015-01-01 08:05:00,08:03:00,-2.0,09:45:00,09:19:00,-26.0,160.0,136.0,0
UA,IAD,DEN,2015-01-01 08:05:00,08:05:00,0.0,10:11:00,10:42:00,31.0,246.0,277.0,0
UA,DEN,RSW,2015-01-01 08:05:00,08:06:00,1.0,13:42:00,13:28:00,-14.0,217.0,202.0,0
UA,SFO,HNL,2015-01-01 08:05:00,08:32:00,27.0,11:39:00,11:56:00,17.0,334.0,324.0,1
UA,ORD,LAS,2015-01-01 08:05:00,08:12:00,7.0,10:08:00,10:03:00,-5.0,243.0,231.0,1
UA,MSY,IAH,2015-01-01 08:05:00,08:03:00,-2.0,09:22:00,09:21:00,-1.0,77.0,78.0,0
UA,IAD,TPA,2015-01-01 08:05:00,08:14:00,9.0,10:33:00,10:50:00,17.0,148.0,156.0,1
US,IAH,PHX,2015-01-01 08:05:00,08:03:00,-2.0,10:11:00,10:15:00,4.0,186.0,192.0,0
US,OMA,PHX,2015-01-01 08:05:00,08:01:00,-4.0,09:57:00,10:08:00,11.0,172.0,187.0,0
AA,LAX,HNL,2015-01-01 08:05:00,08:28:00,23.0,12:10:00,12:30:00,20.0,365.0,362.0,1
AA,SNA,ORD,2015-01-01 08:05:00,08:01:00,-4.0,13:55:00,13:32:00,-23.0,230.0,211.0,0
AA,TUL,DFW,2015-01-01 08:05:00,07:54:00,-11.0,09:20:00,09:11:00,-9.0,75.0,77.0,0
AA,LAS,DFW,2015-01-01 08:05:00,08:05:00,0.0,12:45:00,12:39:00,-6.0,160.0,154.0,0
AS,SEA,MCO,2015-01-01 08:05:00,08:06:00,1.0,16:25:00,16:34:00,9.0,320.0,328.0,0
DL,ATL,SLC,2015-01-01 08:05:00,08:05:00,0.0,10:30:00,10:14:00,-16.0,265.0,249.0,0
DL,AUS,ATL,2015-01-01 08:05:00,08:11:00,6.0,11:11:00,11:06:00,-5.0,126.0,115.0,1
DL,LGA,MCO,2015-01-01 08:05:00,08:14:00,9.0,11:10:00,11:04:00,-6.0,185.0,170.0,1
F9,DEN,LAS,2015-01-01 08:05:00,08:03:00,-2.0,08:57:00,08:42:00,-15.0,112.0,99.0,0
F9,DEN,LAX,2015-01-01 08:05:00,08:41:00,36.0,09:29:00,09:58:00,29.0,144.0,137.0,1
MQ,DFW,LBB,2015-01-01 08:05:00,08:36:00,31.0,09:08:00,10:20:00,72.0,63.0,104.0,1
OO,LAX,TUS,2015-01-01 08:05:00,07:55:00,-10.0,10:30:00,10:12:00,-18.0,85.0,77.0,0
OO,BNA,MSP,2015-01-01 08:05:00,08:00:00,-5.0,10:31:00,10:12:00,-19.0,146.0,132.0,0
OO,DEN,STL,2015-01-01 08:05:00,08:15:00,10.0,11:07:00,11:07:00,0.0,122.0,112.0,1
OO,SEA,PSP,2015-01-01 08:05:00,08:43:00,38.0,10:45:00,11:12:00,27.0,160.0,149.0,1
OO,LAX,JAC,2015-01-01 08:05:00,08:00:00,-5.0,11:33:00,11:23:00,-10.0,148.0,143.0,0
OO,AVL,ORD,2015-01-01 08:05:00,07:59:00,-6.0,09:05:00,09:21:00,16.0,120.0,142.0,0
OO,DEN,BIL,2015-01-01 08:05:00,07:56:00,-9.0,09:38:00,09:18:00,-20.0,93.0,82.0,0
OO,DEN,TUS,2015-01-01 08:05:00,08:36:00,31.0,10:12:00,10:34:00,22.0,127.0,118.0,1
OO,SFO,EUG,2015-01-01 08:05:00,07:58:00,-7.0,09:40:00,09:31:00,-9.0,95.0,93.0,0
OO,ORD,ASE,2015-01-01 08:05:00,08:00:00,-5.0,10:06:00,10:06:00,0.0,181.0,186.0,0
OO,EUG,SFO,2015-01-01 08:05:00,07:54:00,-11.0,09:53:00,09:36:00,-17.0,108.0,102.0,0
B6,LGB,SEA,2015-01-01 08:06:00,07:58:00,-8.0,10:50:00,10:30:00,-20.0,164.0,152.0,0
OO,DTW,DEN,2015-01-01 08:06:00,08:13:00,7.0,09:30:00,09:38:00,8.0,204.0,205.0,1
